CRUISE6," ""CRUISE"""," ""STRATUM"""," ""TOW"""," ""STATION"""," ""STATUS_CODE"""," ""ID"""," ""SVSPP"""," ""CATCHSEX"""," ""LENGTH"""," ""EXPNUMLEN"""," ""SCIENTIFIC_NAME"""," ""LENGTH_COMMENT"""
198370,8370,04010,005,0003,10,198370040100050003,072,0,14,12,Merluccius bilinearis (silver hake), 
198370,8370,04010,005,0003,10,198370040100050003,072,0,15,12,Merluccius bilinearis (silver hake), 
198370,8370,04010,005,0003,10,198370040100050003,072,0,16,12,Merluccius bilinearis (silver hake), 
198370,8370,04010,005,0003,10,198370040100050003,072,0,17,24,Merluccius bilinearis (silver hake), 
198370,8370,04010,005,0003,10,198370040100050003,072,0,18,61,Merluccius bilinearis (silver hake), 
198370,8370,04010,005,0003,10,198370040100050003,072,0,19,85,Merluccius bilinearis (silver hake), 
198370,8370,04010,005,0003,10,198370040100050003,072,0,20,134,Merluccius bilinearis (silver hake), 
198370,8370,04010,005,0003,10,198370040100050003,072,0,21,122,Merluccius bilinearis (silver hake), 
198370,8370,04010,005,0003,10,198370040100050003,072,0,22,158,Merluccius bilinearis (silver hake), 
198370,8370,04010,005,0003,10,198370040100050003,072,0,23,24,Merluccius bilinearis (silver hake), 
198370,8370,04010,005,0003,10,198370040100050003,072,0,25,12,Merluccius bilinearis (silver hake), 
198370,8370,04010,005,0003,10,198370040100050003,072,0,26,61,Merluccius bilinearis (silver hake), 
198370,8370,04010,005,0003,10,198370040100050003,072,0,27,12,Merluccius bilinearis (silver hake), 
198370,8370,04010,005,0003,10,198370040100050003,072,0,28,12,Merluccius bilinearis (silver hake), 
198370,8370,04010,005,0003,10,198370040100050003,072,0,29,37,Merluccius bilinearis (silver hake), 
198370,8370,04010,005,0003,10,198370040100050003,072,0,30,12,Merluccius bilinearis (silver hake), 
198370,8370,04010,005,0003,10,198370040100050003,072,0,31,12,Merluccius bilinearis (silver hake), 
198370,8370,04010,005,0003,10,198370040100050003,072,0,36,12,Merluccius bilinearis (silver hake), 
198370,8370,04010,005,0003,10,198370040100050003,072,0,45,12,Merluccius bilinearis (silver hake), 
198370,8370,04010,005,0003,10,198370040100050003,073,0,27,1,Gadus morhua (Atlantic cod), 
198370,8370,04010,005,0003,10,198370040100050003,073,0,32,1,Gadus morhua (Atlantic cod), 
198370,8370,04010,005,0003,10,198370040100050003,073,0,33,2,Gadus morhua (Atlantic cod), 
198370,8370,04010,005,0003,10,198370040100050003,073,0,34,1,Gadus morhua (Atlantic cod), 
198370,8370,04010,005,0003,10,198370040100050003,073,0,37,1,Gadus morhua (Atlantic cod), 
198370,8370,04010,005,0003,10,198370040100050003,073,0,40,1,Gadus morhua (Atlantic cod), 
198370,8370,04010,005,0003,10,198370040100050003,073,0,42,1,Gadus morhua (Atlantic cod), 
198370,8370,04010,005,0003,10,198370040100050003,073,0,43,1,Gadus morhua (Atlantic cod), 
198370,8370,04010,005,0003,10,198370040100050003,073,0,44,1,Gadus morhua (Atlantic cod), 
198370,8370,04010,005,0003,10,198370040100050003,073,0,48,1,Gadus morhua (Atlantic cod), 
198370,8370,04010,005,0003,10,198370040100050003,073,0,82,1,Gadus morhua (Atlantic cod), 
198370,8370,04010,005,0003,10,198370040100050003,075,0,26,1,Pollachius virens (pollock), 
198370,8370,04010,005,0003,10,198370040100050003,076,0,64,1,Urophycis tenuis (white hake), 
198370,8370,04010,005,0003,10,198370040100050003,076,0,65,1,Urophycis tenuis (white hake), 
198370,8370,04010,005,0003,10,198370040100050003,077,0,27,1,Urophycis chuss (red hake), 
198370,8370,04010,005,0003,10,198370040100050003,077,0,29,1,Urophycis chuss (red hake), 
198370,8370,04010,005,0003,10,198370040100050003,077,0,30,1,Urophycis chuss (red hake), 
198370,8370,04010,005,0003,10,198370040100050003,077,0,31,1,Urophycis chuss (red hake), 
198370,8370,04010,005,0003,10,198370040100050003,077,0,32,4,Urophycis chuss (red hake), 
198370,8370,04010,005,0003,10,198370040100050003,077,0,33,5,Urophycis chuss (red hake), 
198370,8370,04010,005,0003,10,198370040100050003,077,0,34,3,Urophycis chuss (red hake), 
198370,8370,04010,005,0003,10,198370040100050003,077,0,35,1,Urophycis chuss (red hake), 
198370,8370,04010,005,0003,10,198370040100050003,077,0,36,1,Urophycis chuss (red hake), 
198370,8370,04010,005,0003,10,198370040100050003,077,0,37,1,Urophycis chuss (red hake), 
198370,8370,04010,005,0003,10,198370040100050003,077,0,38,3,Urophycis chuss (red hake), 
198370,8370,04010,005,0003,10,198370040100050003,077,0,39,5,Urophycis chuss (red hake), 
198370,8370,04010,005,0003,10,198370040100050003,077,0,40,5,Urophycis chuss (red hake), 
198370,8370,04010,005,0003,10,198370040100050003,077,0,42,1,Urophycis chuss (red hake), 
198370,8370,04010,005,0003,10,198370040100050003,077,0,43,3,Urophycis chuss (red hake), 
198370,8370,04010,005,0003,10,198370040100050003,077,0,44,1,Urophycis chuss (red hake), 
198370,8370,04010,005,0003,10,198370040100050003,077,0,45,3,Urophycis chuss (red hake), 
198370,8370,04010,005,0003,10,198370040100050003,077,0,46,1,Urophycis chuss (red hake), 
198370,8370,04010,005,0003,10,198370040100050003,077,0,47,1,Urophycis chuss (red hake), 
198370,8370,04010,005,0003,10,198370040100050003,077,0,48,1,Urophycis chuss (red hake), 
198370,8370,04010,005,0003,10,198370040100050003,084,0,88,1,Brosme brosme (cusk), 
198370,8370,04010,005,0003,10,198370040100050003,102,0,10,7,Hippoglossoides platessoides (American plaice), 
198370,8370,04010,005,0003,10,198370040100050003,102,0,11,7,Hippoglossoides platessoides (American plaice), 
198370,8370,04010,005,0003,10,198370040100050003,102,0,14,2,Hippoglossoides platessoides (American plaice), 
198370,8370,04010,005,0003,10,198370040100050003,102,0,15,7,Hippoglossoides platessoides (American plaice), 
198370,8370,04010,005,0003,10,198370040100050003,102,0,16,2,Hippoglossoides platessoides (American plaice), 
198370,8370,04010,005,0003,10,198370040100050003,102,0,17,2,Hippoglossoides platessoides (American plaice), 
198370,8370,04010,005,0003,10,198370040100050003,102,0,18,2,Hippoglossoides platessoides (American plaice), 
